original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,1114705.0,1115639.0,58.24281150159744,58.6993610223642,,6,Onward
1,1115731.0,1117203.0,58.7444089456869,59.45431309904146,Onward,15,Chauncey
2,1118189.0,1118359.0,59.936102236421725,60.036102236421726,Onward Chauncey,18,to
3,1118359.0,1118683.0,60.036102236421726,60.186102236421725,Onward Chauncey to,22,the
4,1118683.0,1119715.0,60.186102236421725,60.68945686900952,Onward Chauncey to the,30,highest
5,1119756.0,1120414.0,60.70926517571885,61.04025559105432,Onward Chauncey to the highest,35,room
6,1120414.0,1120540.0,61.04025559105432,61.101916932907365,Onward Chauncey to the highest room,38,of
7,1120540.0,1120739.0,61.101916932907365,61.19121405750803,Onward Chauncey to the highest room of,42,the
8,1120739.0,1122047.0,61.19121405750803,61.82875399361026,Onward Chauncey to the highest room of the,50,tallest
9,1122116.0,1123328.0,61.86261980830671,62.46325878594248,Onward Chauncey to the highest room of the tallest,56,tower
10,1123973.0,1124340.0,62.76996805111821,62.94968051118213,Onward Chauncey to the highest room of the tallest tower,62,where
11,1124340.0,1124657.0,62.94968051118213,63.11357827476039,Onward Chauncey to the highest room of the tallest tower where,65,my
12,1124947.0,1125783.0,63.24600638977636,63.64600638977635,Onward Chauncey to the highest room of the tallest tower where my,74,princess
13,1125900.0,1126691.0,63.712460063897765,64.08913738019164,Onward Chauncey to the highest room of the tallest tower where my princess,81,awaits
14,1126887.0,1127821.0,64.185303514377,64.64185303514367,Onward Chauncey to the highest room of the tallest tower where my princess awaits,88,rescue
15,1128362.0,1128786.0,64.91373801916933,65.11373801916933,Onward Chauncey to the highest room of the tallest tower where my princess awaits rescue,93,from
16,1128786.0,1129378.0,65.11373801916933,65.41070287539932,Onward Chauncey to the highest room of the tallest tower where my princess awaits rescue from,97,her
17,1129378.0,1130948.0,65.41070287539932,66.18769968051114,Onward Chauncey to the highest room of the tallest tower where my princess awaits rescue from her,106,handsome
18,1131454.0,1132252.0,66.42492012779553,66.81437699680508,Onward Chauncey to the highest room of the tallest tower where my princess awaits rescue from her handsome,113,Prince
19,1132487.0,1133761.0,66.9297124600639,67.54376996805112,Onward Chauncey to the highest room of the tallest tower where my princess awaits rescue from her handsome Prince,122,Charming
20,1155336.0,1156694.0,78.08306709265176,78.74744408945685,,3,Eww
21,1157652.0,1157883.0,79.21405750798712,79.33738019169323,Eww,8,this
22,1157923.0,1158276.0,79.35731629392978,79.5274760383387,Eww this,11,is
23,1158470.0,1159255.0,79.61473801916937,79.99,Eww this is,17,worse
24,1159285.0,1159689.0,80.00428115015983,80.21,Eww this is worse,22,than
